League,Week,Winner,Loser,Winner Pts,Loser Pts
QuickDraft 1,1,Frank1983,MEDIAN,,
QuickDraft 1,1,aledo,MEDIAN,,
QuickDraft 1,1,tford51,MEDIAN,,
QuickDraft 1,1,MEDIAN,theBandit216,,
Quickdraft 2,1,MEDIAN,ProfessorD,,
Quickdraft 2,1,MEDIAN,aledo,,
Quickdraft 2,1,MEDIAN,ConorDeLa,,
Quickdraft 2,1,MEDIAN,theBandit216,,
Quickdraft 2,1,tford51,MEDIAN,,
Quickdraft 2,1,koolaid403,MEDIAN,,
Quickdraft 2,1,Frank1983,MEDIAN,,
Quickdraft 2,1,WestCoastNonsense,MEDIAN,,
MainLeague,2,ChiJV,MEDIAN,,
MainLeague,2,gpeisert1,MEDIAN,,
MainLeague,2,WestCoastNonsense,MEDIAN,,
MainLeague,2,ConorDeLa,MEDIAN,,
MainLeague,2,Mschmoopie,MEDIAN,,
MainLeague,2,MEDIAN,theBandit216,,
MainLeague,2,MEDIAN,tford51,,
MainLeague,2,MEDIAN,ProfessorD,,
MainLeague,2,MEDIAN,aledo,,
MainLeague,2,MEDIAN,plfinken,,
MainLeague,2,MEDIAN,CoryPeisert,,
MainLeague,2,koolaid403,MEDIAN,,
BB1,2,ProfessorD,MEDIAN,,
BB1,2,MEDIAN,gpeisert1,,
BB1,2,MEDIAN,WestCoastNonsense,,
BB1,2,MEDIAN,theBandit216,,
BB1,2,jnappy,MEDIAN,,
BB1,2,Mschmoopie,MEDIAN,,
BB1,2,MEDIAN,koolaid403,,
BB1,2,ConorDeLa,MEDIAN,,
BB1,2,ChiJV,MEDIAN,,
BB1,2,MEDIAN,tford51,,
BB1,2,MEDIAN,plfinken,,
BB1,2,aledo,MEDIAN,,
BB2,2,MEDIAN,ProfessorD,,
BB2,2,jnappy,MEDIAN,,
BB2,2,MEDIAN,theBandit216,,
BB2,2,WestCoastNonsense,MEDIAN,,
BB2,2,MEDIAN,gpeisert1,,
BB2,2,MEDIAN,ConorDeLa,,
BB2,2,koolaid403,MEDIAN,,
BB2,2,Mschmoopie,MEDIAN,,
BB2,2,MEDIAN,Deerslayer65,,
BB2,2,tford51,MEDIAN,,
BB2,2,MEDIAN,ChiJV,,
BB2,2,aledo,MEDIAN,,
BB3,2,ProfessorD,MEDIAN,,
BB3,2,tford51,MEDIAN,,
BB3,2,MEDIAN,ConorDeLa,,
BB3,2,MEDIAN,theBandit216,,
BB3,2,MEDIAN,WestCoastNonsense,,
BB3,2,jnappy,MEDIAN,,
BB3,2,koolaid403,MEDIAN,,
BB3,2,Mschmoopie,MEDIAN,,
BB3,2,aledo,MEDIAN,,
BB3,2,MEDIAN,Deerslayer65,,
BB3,2,MEDIAN,gpeisert1,,
BB3,2,MEDIAN,JeffMyers,,
BB4,2,MEDIAN,ProfessorD,,
BB4,2,gpeisert1,MEDIAN,,
BB4,2,tford51,MEDIAN,,
BB4,2,jnappy,MEDIAN,,
BB4,2,MEDIAN,ConorDeLa,,
BB4,2,aledo,MEDIAN,,
BB4,2,koolaid403,MEDIAN,,
BB4,2,MEDIAN,WestCoastNonsense,,
BB4,2,theBandit216,MEDIAN,,
BB4,2,MEDIAN,JeffMyers,,
BB4,2,MEDIAN,Mschmoopie,,
BB4,2,MEDIAN,msbosway,,
BB5,2,ProfessorD,MEDIAN,,
BB5,2,MEDIAN,ConorDeLa,,
BB5,2,theBandit216,MEDIAN,,
BB5,2,jnappy,MEDIAN,,
BB5,2,WestCoastNonsense,MEDIAN,,
BB5,2,gpeisert1,MEDIAN,,
BB5,2,MEDIAN,aledo,,
BB5,2,Mschmoopie,MEDIAN,,
BB5,2,MEDIAN,tford51,,
BB5,2,MEDIAN,koolaid403,,
BB5,2,MEDIAN,msbosway,,
BB5,2,MEDIAN,Fordo45,,
QuickDraft 1,2,ProfessorD,MEDIAN,,
QuickDraft 1,2,MEDIAN,koolaid403,,
QuickDraft 1,2,ConorDeLa,MEDIAN,,
QuickDraft 1,2,MEDIAN,WestCoastNonsense,,
QuickDraft 1,2,Frank1983,MEDIAN,,
QuickDraft 1,2,MEDIAN,aledo,,
QuickDraft 1,2,tford51,MEDIAN,,
QuickDraft 1,2,MEDIAN,theBandit216,,
Quickdraft 2,2,MEDIAN,ProfessorD,,
Quickdraft 2,2,MEDIAN,aledo,,
Quickdraft 2,2,ConorDeLa,MEDIAN,,
Quickdraft 2,2,theBandit216,MEDIAN,,
Quickdraft 2,2,tford51,MEDIAN,,
Quickdraft 2,2,koolaid403,MEDIAN,,
Quickdraft 2,2,MEDIAN,Frank1983,,
Quickdraft 2,2,MEDIAN,WestCoastNonsense,,
