League,Week,Winner,Loser,Winner Pts,Loser Pts
MainLeague,1,CoryPeisert,MEDIAN,,
MainLeague,1,koolaid403,MEDIAN,,
BB1,1,ProfessorD,MEDIAN,,
BB1,1,gpeisert1,MEDIAN,,
BB1,1,WestCoastNonsense,MEDIAN,,
BB1,1,MEDIAN,theBandit216,,
BB1,1,jnappy,MEDIAN,,
BB1,1,Mschmoopie,MEDIAN,,
BB1,1,koolaid403,MEDIAN,,
BB1,1,MEDIAN,ConorDeLa,,
BB1,1,MEDIAN,ChiJV,,
BB1,1,MEDIAN,tford51,,
BB1,1,MEDIAN,plfinken,,
BB1,1,MEDIAN,aledo,,
BB2,1,ProfessorD,MEDIAN,,
BB2,1,MEDIAN,jnappy,,
BB2,1,MEDIAN,theBandit216,,
BB2,1,MEDIAN,WestCoastNonsense,,
BB2,1,MEDIAN,gpeisert1,,
BB2,1,MEDIAN,ConorDeLa,,
BB2,1,koolaid403,MEDIAN,,
BB2,1,Mschmoopie,MEDIAN,,
BB2,1,Deerslayer65,MEDIAN,,
BB2,1,tford51,MEDIAN,,
BB2,1,ChiJV,MEDIAN,,
BB2,1,MEDIAN,aledo,,
BB3,1,MEDIAN,ProfessorD,,
BB3,1,tford51,MEDIAN,,
BB3,1,MEDIAN,ConorDeLa,,
BB3,1,MEDIAN,theBandit216,,
BB3,1,MEDIAN,WestCoastNonsense,,
BB3,1,MEDIAN,jnappy,,
BB3,1,koolaid403,MEDIAN,,
BB3,1,Mschmoopie,MEDIAN,,
BB3,1,aledo,MEDIAN,,
BB3,1,Deerslayer65,MEDIAN,,
BB3,1,MEDIAN,gpeisert1,,
BB3,1,JeffMyers,MEDIAN,,
BB4,1,MEDIAN,ProfessorD,,
BB4,1,MEDIAN,gpeisert1,,
BB4,1,tford51,MEDIAN,,
BB4,1,jnappy,MEDIAN,,
BB4,1,MEDIAN,ConorDeLa,,
BB4,1,MEDIAN,aledo,,
BB4,1,koolaid403,MEDIAN,,
BB4,1,MEDIAN,WestCoastNonsense,,
BB4,1,theBandit216,MEDIAN,,
BB4,1,JeffMyers,MEDIAN,,
BB4,1,MEDIAN,Mschmoopie,,
BB4,1,msbosway,MEDIAN,,
BB5,1,MEDIAN,ProfessorD,,
BB5,1,MEDIAN,ConorDeLa,,
BB5,1,MEDIAN,theBandit216,,
BB5,1,jnappy,MEDIAN,,
BB5,1,MEDIAN,WestCoastNonsense,,
BB5,1,gpeisert1,MEDIAN,,
BB5,1,MEDIAN,aledo,,
BB5,1,Mschmoopie,MEDIAN,,
BB5,1,tford51,MEDIAN,,
BB5,1,koolaid403,MEDIAN,,
BB5,1,msbosway,MEDIAN,,
BB5,1,MEDIAN,Fordo45,,
QuickDraft 1,1,MEDIAN,ProfessorD,,
QuickDraft 1,1,MEDIAN,koolaid403,,
QuickDraft 1,1,ConorDeLa,MEDIAN,,
QuickDraft 1,1,MEDIAN,WestCoastNonsense,,
QuickDraft 1,1,Frank1983,MEDIAN,,
QuickDraft 1,1,aledo,MEDIAN,,
QuickDraft 1,1,tford51,MEDIAN,,
QuickDraft 1,1,MEDIAN,theBandit216,,
Quickdraft 2,1,MEDIAN,ProfessorD,,
Quickdraft 2,1,MEDIAN,aledo,,
Quickdraft 2,1,MEDIAN,ConorDeLa,,
Quickdraft 2,1,MEDIAN,theBandit216,,
Quickdraft 2,1,tford51,MEDIAN,,
Quickdraft 2,1,koolaid403,MEDIAN,,
Quickdraft 2,1,Frank1983,MEDIAN,,
Quickdraft 2,1,WestCoastNonsense,MEDIAN,,
